symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2016-03-02 00:00:00+00:00,52.95,52.96,52.155,52.41,29289884,48.7919559771,48.8011706997,48.0593855333,48.2943609586,29289884,0.0,1.0
MSFT,2016-03-03 00:00:00+00:00,52.35,52.97,51.78,52.97,24427813,48.2390726233,48.8103854222,47.7138334371,48.8103854222,24427813,0.0,1.0
MSFT,2016-03-04 00:00:00+00:00,52.03,52.45,51.71,52.4,33034150,47.9442015012,48.3312198489,47.6493303792,48.2851462361,33034150,0.0,1.0
MSFT,2016-03-07 00:00:00+00:00,51.03,51.8,50.58,51.56,38428816,47.0227292448,47.7322628822,46.6080667294,47.5111095407,38428816,0.0,1.0
MSFT,2016-03-08 00:00:00+00:00,51.65,52.13,50.595,50.8,33075517,47.5940420438,48.0363487269,46.6218888133,46.8107906258,33075517,0.0,1.0
MSFT,2016-03-09 00:00:00+00:00,52.84,52.85,51.855,51.89,28251588,48.6905940289,48.6998087515,47.7829438563,47.8151953853,28251588,0.0,1.0
MSFT,2016-03-10 00:00:00+00:00,52.05,52.94,51.16,52.93,38387804,47.9626309463,48.7827412545,47.1425206381,48.773526532,38387804,0.0,1.0
MSFT,2016-03-11 00:00:00+00:00,53.07,53.07,52.38,53.0,32275677,48.9025326479,48.9025326479,48.266716791,48.8380295899,32275677,0.0,1.0
MSFT,2016-03-14 00:00:00+00:00,53.17,53.59,52.63,52.71,24083616,48.9946798735,49.3816982212,48.4970848551,48.5708026356,24083616,0.0,1.0
MSFT,2016-03-15 00:00:00+00:00,53.59,53.59,52.74,52.75,21104763,49.3816982212,49.3816982212,48.5984468033,48.6076615258,21104763,0.0,1.0
MSFT,2016-03-16 00:00:00+00:00,54.35,54.6,53.4,53.45,31691742,50.0820171361,50.3123852002,49.2066184925,49.2526921053,31691742,0.0,1.0
MSFT,2016-03-17 00:00:00+00:00,54.66,55.0,54.0,54.21,28223947,50.3676735356,50.6809741028,49.7595018463,49.9530110202,28223947,0.0,1.0
MSFT,2016-03-18 00:00:00+00:00,53.49,54.97,53.445,54.92,67625518,49.2895509956,50.6533299351,49.248084744,50.6072563222,67625518,0.0,1.0
MSFT,2016-03-21 00:00:00+00:00,53.86,53.9298,52.93,53.25,23925716,49.6304957304,49.6948144939,48.773526532,49.068397654,23925716,0.0,1.0
MSFT,2016-03-22 00:00:00+00:00,54.07,54.25,53.46,53.61,23124143,49.8240049043,49.9898699104,49.2619068279,49.4001276663,23124143,0.0,1.0
MSFT,2016-03-23 00:00:00+00:00,53.97,54.24,53.74,54.11,20129015,49.7318576787,49.9806551879,49.5199190597,49.8608637946,20129015,0.0,1.0
MSFT,2016-03-24 00:00:00+00:00,54.21,54.33,53.73,53.84,19949972,49.9530110202,50.063587691,49.5107043371,49.6120662853,19949972,0.0,1.0
MSFT,2016-03-28 00:00:00+00:00,53.54,54.29,53.33,54.21,17025050,49.3356246084,50.0267288007,49.1421154345,49.9530110202,17025050,0.0,1.0
MSFT,2016-03-29 00:00:00+00:00,54.71,54.86,53.45,53.66,23924329,50.4137471484,50.5519679869,49.2526921053,49.4462012792,23924329,0.0,1.0
MSFT,2016-03-30 00:00:00+00:00,55.05,55.64,54.9,54.93,23008260,50.7270477156,51.2707163469,50.5888268771,50.6164710448,23008260,0.0,1.0
MSFT,2016-03-31 00:00:00+00:00,55.23,55.59,54.86,54.95,26360495,50.8929127217,51.224642734,50.5519679869,50.6349004899,26360495,0.0,1.0
MSFT,2016-04-01 00:00:00+00:00,55.57,55.61,54.57,55.05,24399193,51.2062132889,51.2430721792,50.2847410325,50.7270477156,24399193,0.0,1.0
MSFT,2016-04-04 00:00:00+00:00,55.43,55.66,55.0,55.43,18928810,51.077207173,51.289145792,50.6809741028,51.077207173,18928810,0.0,1.0
MSFT,2016-04-05 00:00:00+00:00,54.56,55.3,54.46,55.19,19272255,50.2755263099,50.9574157797,50.1833790843,50.8560538315,19272255,0.0,1.0
MSFT,2016-04-06 00:00:00+00:00,55.12,55.2,54.21,54.36,21188682,50.7915507735,50.865268554,49.9530110202,50.0912318587,21188682,0.0,1.0
MSFT,2016-04-07 00:00:00+00:00,54.46,54.91,54.23,54.87,19225092,50.1833790843,50.5980415997,49.9714404653,50.5611827094,19225092,0.0,1.0
MSFT,2016-04-08 00:00:00+00:00,54.42,55.28,54.32,54.67,22167223,50.146520194,50.9389863346,50.0543729684,50.3768882581,22167223,0.0,1.0
MSFT,2016-04-11 00:00:00+00:00,54.31,55.15,54.3,54.49,21414227,50.0451582458,50.8191949412,50.0359435233,50.211023252,21414227,0.0,1.0
MSFT,2016-04-12 00:00:00+00:00,54.65,54.78,53.76,54.37,24944288,50.358458813,50.4782502063,49.5383485048,50.1004465812,24944288,0.0,1.0
